,condition,null_exponents,null_offsets,n_permutation
0,rare_frequent,0.046874826523755096,0.0638862446628902,0
1,rare_frequent,0.013587785685723958,0.02438581232498044,1
2,rare_frequent,-0.0075935398805406645,-0.01274133446716295,2
3,rare_frequent,0.03091308255602495,0.031679937592479064,3
4,rare_frequent,-0.0343270561689082,-0.044387365166591884,4
5,rare_frequent,0.010279870236260475,0.026888221980706985,5
6,rare_frequent,-0.06368301877420468,-0.09093543588276187,6
7,rare_frequent,0.07263436545321351,0.09925901549004848,7
8,rare_frequent,-0.024489281155491618,-0.033174279564951094,8
9,rare_frequent,-0.06198569081518168,-0.0806490799933621,9
10,rare_frequent,-0.021793301141772387,-0.04855327234665198,10
11,rare_frequent,0.03441473031987687,0.031359802347554665,11
12,rare_frequent,0.006054618853915697,-0.009212726581615972,12
13,rare_frequent,0.03227591301196814,0.054229835859696186,13
14,rare_frequent,0.0008369587651708393,-0.02792261499458685,14
15,rare_frequent,0.05456281465255084,0.05060622926820348,15
16,rare_frequent,0.05685545611747421,0.04915191817136207,16
17,rare_frequent,0.09123075937118467,0.12081768887604336,17
18,rare_frequent,-0.06102706077953637,-0.08723626111251051,18
19,rare_frequent,0.013886603064011193,0.023001580665001548,19
20,rare_frequent,0.018268239795081832,0.02302499293648412,20
21,rare_frequent,-0.0017026804385807475,-0.02325609841375873,21
22,rare_frequent,-0.00614885631082312,-0.013397406413660874,22
23,rare_frequent,-0.01029728207392867,-0.023059549000205775,23
24,rare_frequent,0.07483107337286357,0.10935785963418432,24
25,rare_frequent,0.033732050555983925,0.04513775395151042,25
26,rare_frequent,-0.04589431730527277,-0.05774022026983725,26
27,rare_frequent,-0.052284511471521265,-0.0590062364067264,27
28,rare_frequent,-0.024501514507055778,-0.019169896188327967,28
29,rare_frequent,-0.011679171533160254,-0.018539487292713507,29
30,rare_frequent,0.016522266756522262,-0.0010776586036131074,30
31,rare_frequent,-0.009249746071967541,-0.008905252500564578,31
32,rare_frequent,0.044784737807627775,0.0714119020418638,32
